DB01166,Q14432,1
DB07986,P08254,1
DB04464,P07998,1
DB00589,P08913,1
DB00692,P25100,1
DB00181,Q9UBS5,1
DB01873,P07437,1
DB00715,P21728,1
DB01589,O00591,1
DB08387,Q9Y233,1
DB09214,P35354,1
DB01799,Q46822,1
DB00246,P35368,1
DB03010,Q13509,1
DB04669,P24941,1
DB02578,P15555,1
DB01406,P03372,1
DB07388,P35228,1
DB00192,Q14524,1
DB00897,Q8N1C3,1
DB08795,Q75Y35,1
DB03041,O94766,1
DB00148,P12532,1
DB06137,P12931,1
DB04793,P07477,1
DB14487,P02652,1
DB02379,P13507,1
DB07034,O14757,1
DB00850,P14416,1
DB06194,P11473,1
DB00659,P48169,1
DB00722,P00797,1
DB00157,P51970,1
DB05969,P15692,1
DB03348,P22303,1
DB04417,P50225,1
DB00210,P19793,1
DB14001,O76054,1
DB01159,Q9NPC2,1
DB08927,P28223,1
DB07222,P9WGR1,1
DB04464,P39300,1
DB07014,P49841,1
DB02821,P04181,1
DB00157,O14561,1
DB00308,Q02641,1
DB06969,P07900,1
DB11638,Q76NM6,1
DB13948,P28223,1
DB02613,P54317,1
DB03660,P42790,1
DB04873,Q13639,1
DB07227,P49356,1
DB00376,P08173,1
DB01863,Q9UN19,1
DB09389,P10275,1
DB02310,P50579,1
DB00656,P08913,1
DB12695,P55072,1
DB03136,P00749,1
DB04773,Q4W9V8,1
DB00186,O14764,1
DB01013,P04083,1
DB03041,P0C0F4,1
DB02758,Q9NZK7,1
DB07854,P17612,1
DB08241,P20248,1
DB08846,P00918,1
DB00761,P55011,1
DB09194,P28335,1
DB03911,P24300,1
DB00142,P48506,1
DB00987,P06746,1
DB00321,P23975,1
DB01189,Q01814,1
DB00898,Q16445,1
DB13335,P78334,1
DB02201,Q99470,1
DB01545,P47869,1
DB01587,P48169,1
DB00477,P17405,1
DB01403,P28223,1
DB07763,P47985,1
DB02471,P09848,1
DB07111,P37231,1
DB07901,P53582,1
DB04024,P0A8M5,1
DB00402,Q99928,1
DB06016,P41595,1
DB02716,P06730,1
DB04647,P0AEB2,1
DB00514,P41143,1
DB01069,Q03721,1
DB00172,P45877,1
DB03128,P08173,1
DB03059,A0A0H3K1U2,1
DB02527,Q98GN8,1
DB11817,P52333,1
DB00351,P04150,1
DB11195,P24300,1
DB01813,P0AB80,1
DB05262,P47989,1
DB06981,P63208,1
DB01224,P14416,1
DB03751,P95780,1
DB03661,P43522,1
DB00228,P16389,1
DB04233,O33407,1
DB03306,P12931,1
DB01137,P43702,1
DB04920,Q01668,1
DB00962,P14867,1
DB01593,P01042,1
DB09345,P35499,1
DB07873,O95749,1
DB01805,P22303,1
DB07599,P62593,1
DB04315,P01112,1
DB04368,Q9HBH1,1
DB11638,P62750,1
DB04233,Q9RBW8,1
DB03144,P05089,1
DB00408,P08172,1
DB13520,Q99250,1
DB11638,Q8IJN7,1
DB00530,O75469,1
DB00122,P22303,1
DB04971,Q07869,1
DB00157,Q96C36,1
DB01752,Q14749,1
DB00776,Q9NY72,1
DB01489,P34903,1
DB09079,P35968,1
DB01595,P14867,1
DB07622,P24941,1
DB01727,P77541,1
DB14011,P24752,1
DB04347,Q6GII7,1
DB07909,P01834,1
DB04119,P22314,1
DB07671,P69054,1
DB01267,P35367,1
DB07042,Q837V6,1
DB02709,Q14994,1
DB14533,O14791,1
DB00867,P07550,1
DB00628,O00591,1
DB00251,P10613,1
DB07876,P61925,1
DB02480,Q46822,1
DB03147,P09788,1
DB00475,Q8N1C3,1
DB00231,Q9UN88,1
DB03227,Q837V6,1
DB00129,P52569,1
DB04786,P14555,1
DB13954,Q15596,1
DB01174,P43681,1
DB07521,P00734,1
DB08922,P25100,1
DB04855,Q9UK17,1
DB08705,P11309,1
DB00269,P03372,1
DB01179,P11388,1
DB02731,P55809,1
DB00162,Q9BTZ2,1
DB03566,P23181,1
DB02901,P03372,1
DB06757,P50213,1
DB09409,Q12879,1
DB04934,P0A8V2,1
DB01110,Q03721,1
DB00714,P08913,1
DB13174,P55055,1
DB01342,P30556,1
DB00430,P02919,1
DB02723,P00734,1
DB08865,Q9UM73,1
DB12147,P22455,1
DB00890,P04278,1
DB00185,P11229,1
DB03127,Q9Y5Y6,1
DB04570,P42971,1
DB12007,Q07869,1
DB04400,P07101,1
DB07530,Q15788,1
DB09283,P54750,1
DB14067,Q2M3G0,1
DB06207,P35348,1
DB08330,P47985,1
DB03896,P51003,1
DB00653,O00305,1
DB09304,O95264,1
DB11273,P30939,1
DB09118,Q16445,1
DB01327,P60568,1
DB04395,P08069,1
DB08263,Q9NWT6,1
DB04315,P41091,1
DB00132,Q9NYP7,1
DB14481,P30626,1
DB02462,P35228,1
DB06195,P27361,1
DB01421,Q5SHN7,1
DB09166,P25105,1
DB04315,Q9X242,1
DB04173,P02943,1
DB02464,P07478,1
DB01205,P34903,1
DB07638,P03372,1
DB01118,P08588,1
DB00149,O15382,1
DB01101,P04818,1
DB00458,P23975,1
DB07579,P02743,1
DB00755,O94788,1
DB03313,P0A3M6,1
DB00172,Q96C36,1
DB02816,P05364,1
DB00173,Q9BY49,1
DB07140,A0A0M3KKX1,1
DB03909,P06213,1
DB09221,P09619,1
DB02371,P09871,1
DB04395,P37093,1
DB12010,Q96NX5,1
DB09129,P06213,1
DB00308,O00180,1
DB00714,P18825,1
DB01577,Q05940,1
DB08603,P15636,1
DB03723,P26392,1
DB14185,P08908,1
DB00321,P50406,1
DB00120,P17735,1
DB00458,P35348,1
DB04395,P51570,1
DB05015,O15379,1
DB13751,P19838,1
DB01589,P78334,1
DB00302,P00747,1
DB05171,Q9NZ42,1
DB06712,Q08289,1
DB00841,P25100,1
DB11093,P62166,1
DB09342,Q9UQD0,1
DB14058,O13332,1
DB00761,Q9UP95,1
DB00493,Q8DNB6,1
DB00408,P08588,1
DB00321,Q16620,1
DB03414,Q16706,1
DB12141,P28221,1
DB07392,P06008,1
DB00661,Q00975,1
DB07858,P61925,1
DB00126,O00469,1
DB03461,P0C188,1
DB00874,Q05586,1
DB00234,P23975,1
DB03551,P9WP01,1
DB09130,P25311,1
DB00726,P07550,1
DB09089,P54284,1
DB11638,Q8ILV2,1
DB07768,Q04828,1
DB07700,P42330,1
DB03900,P47228,1
DB00902,P35367,1
DB14011,Q02083,1
DB00523,P19793,1
DB01254,P09619,1
DB02503,P00811,1
DB03147,Q9UKU7,1
DB08901,P36888,1
DB04946,P21728,1
DB01567,O00591,1
DB00521,P07550,1
DB07733,P29466,1
DB06777,Q96RI1,1
DB04109,P35030,1
DB00428,O60502,1
DB03280,P9WKE1,1
DB02796,P00491,1
DB11638,Q8IJ74,1
DB02360,P08311,1
DB08767,P84887,1
